Text,Category
I Thank God America Is Not Like The Free Speech Free Shithole Countries Of Europe To Keep America Different Is,Hate Speech
Who Is This Faggot,Hate Speech
Only Leicester I Like Is The Cheese Fucking Yobbo Cunts,Hate Speech
Once You Go Hardy You Go Retarded,Hate Speech
Is A Rag Head The Same As A Camel Swagger,Hate Speech
On Pm Iranian Expressed His Desire To Give Pakistani Nationality To Afghan And Bengali Refugees On,Hate Speech
Who Ever Is Making The Calls For The Is Pretty Retarded And Does Not Learn From Mistakes,Hate Speech
Never Hit A Woman But Load Me Up On Stella Artist Iron My Vest Because For This Vagina Make The Exception,Hate Speech
Laughing Out Loud Hey Man You Started Writing In Ching Chong First Okay Www Also Now That I Know That You Are A,Hate Speech
Governments Own The Water In Those World Shithole Countries That Is A Regulation Based Solution,Hate Speech
Thanks To The Historic Taco Bowls That I Signed Into Law Your Crooked Hillary Are Going Up Your Shithole,Hate Speech
Best Television Do Not Watch A Lot Of Tv Probably Malamute Do Not Care If I Am A Faggot That Shit What A Slut Good,Hate Speech
Sgt With Crazy Retarded Impossible Time Hack After Pt Into Cops Be Back At B Co In Minutes Fall,Hate Speech
Straight Girls Go To Hamburger Mary Once And Start Thinking They Can Say Faggot,Hate Speech
Me Is A Faggot Else Get Out Of My Face,Hate Speech
The Fucking Retard Just Gave Them The Best Ammunition Possible,Hate Speech
Hey You Know If You Say Retard So Many Times A Short Amount Of Words It Makes You Look Retarded,Hate Speech
Being On Adderall What A Slut Cool Because I Could Be Retarded More Efficiently,Hate Speech
Shutup Nigger,Hate Speech
So You Mean To Tell Me Being Called A Cracker Carries The Same Weight As Being Called A Nigger Spick Wetback,Hate Speech
King Please Forgive Me I Mean To Laugh With This Mongoloid,Hate Speech
Can I Go One Day Without Seeing That Faggot On My Phone,Hate Speech
They Are All Right To Be Fair But They Do Seem To Attract A Money Element At Their Gigs,Hate Speech
Fuck You Faggot,Hate Speech
Funny They Do Not Use It Means Cool A K A By The Where Are You What What A Slut Responsible For Murders,Hate Speech
Blown Holding Calls And He What A Slut Short God These Refs Are Retarded,Hate Speech
Still No Master Of Ceremonies Rag Head,Hate Speech
Supra Is A Fucking Faggot,Hate Speech
She Is Just Another Silly Cunt Twitter Is Full Of Them,Hate Speech
I Do Not Think I Have Retarded Mutual So Possibly Never,Hate Speech
Found Envelopes And They Say Ching Chong,Hate Speech
I Cannot Believe Ching Chong Is Down By Points,Hate Speech
Her Name Is Ching Chong Did You Just Assume Her Name,Hate Speech
It Is Okay To Be White,Hate Speech
I Remember Going Every Dinner When I What A Slut A Wee Yobbo At David Lister Frown Sad Andy Or Pouting Them Man With His Spicy Salt And That,Hate Speech
It Said Words You Fucking Mongoloid,Hate Speech
Yuki I Will Kick You In The Vagina Stop Talking About My Two Me,Hate Speech
Hey My Stinky Dyke Tslint To,Hate Speech
Fuck Rich Hill Faggot,Hate Speech
I Call Him A Faggot I Very Agree On That But I Somewhat Agree And Disagree,Hate Speech
Congratulations You Dumb Vagina,Hate Speech
I Really Am Thinking Like Do Niggas Think I Am Dumb They Must Think I Am Retarded,Hate Speech
Afrikaans Dumb Vagina Do You Speak It,Hate Speech
If You Post A Video Of You Sweating In A Pub And Killing Someone Trying To Play Casual You A Faggot Sorry Not Sorry,Hate Speech
Whenever You Say Isn T It Is Gives Me Aids Because Of How Much Of A Posh Vagina You Are,Hate Speech
Left Goes Nuts After Calls Countries Insisting No Country Is A Shithole Now It Is,Hate Speech
I Think I Am Finally Over You After Years You Fucking Cunt,Hate Speech
A Fucking Vagina,Hate Speech
Call On The Australian Government To Expand And Improve Community Sponsorship For Refugees So That More Families,Hate Speech
How About You Get Your Head Fixed First,Hate Speech
Me When I Walk Through The Gate And The Faggot Detector Goes Off,Hate Speech
Does United States Of America Morph Into A Heartless Shithole Country Under The Trump Administration Vote Democrat Voted,Hate Speech
What The Fuck Does Spic Mean And How Is It Offensive,Hate Speech
Says The Retard With A Beehive The Size Of An Apartment,Hate Speech
I Have Never Agreed With Anything More Than When Donald Trump Called African Countries Shithole,Hate Speech
You Could Just Point Out That They All Come From Shithole Countries But Whatever Know How You Feel About That Phrase Too,Hate Speech
Not The Leader Of The Free World Anymore What A Twat Expletives Suppressed,Hate Speech
Leaving Their Shithole Countries To Turn Europe Into A Continent Full Of Shithole Countries Home,Hate Speech
Do Me And America A Favor And Stop Giving These Hateful Leftist Reporters The Privilege Of,Hate Speech
One Of My Girls Is Chinese And Whenever She Educates This Girl To Not Say Ching Chong And Shit The Girl Goes It,Hate Speech
My Fucking Vagina Is A Joke,Hate Speech
Disgusting Tweet You Vile Cunt,Hate Speech
Hyaaaa Trembles In Ching Chong,Hate Speech
Hol Up It Means Times Is More Famous Than Those Weird K Pop Ching Chong Nights So Like You Cannot Even Argue Bro Even If He Is De,Hate Speech
A Hole Sir A Faggot Sir Just A Clit Sir A Hole Sir A Faggot Sir Just A Clit Sir A,Hate Speech
You And Tyrone Are Retarded,Hate Speech
Fucking,Hate Speech
Here Is A Good Old Spicy Meme I Made Because I Decided To Be A Little Vagina Very Very Happy Face Or Smiley,Hate Speech
Calling Him Her A Vagina Probably,Hate Speech
Nigera Fucker A Nigger Proper,Hate Speech
Shut The Fuck Up And Come Party Retard,Hate Speech
Ching Chong Ching Chang,Hate Speech
Kelly Rowland Really Called Freddie Kruger A Faggot Lmaoooooooooooo,Hate Speech
Is It Me Or Do People Go Instant Retard When Told Firmly To Leave,Hate Speech
Asian Group Ching Chong Dog Eaters Those Chinese Dudes,Hate Speech
Luke Is Retarded He Needs To Do A Better Job With These Rotations And Stop Calling Dumb Timeouts,Hate Speech
Which Faggot Is Paying For New Underwear Message Me,Hate Speech
Wait Never Mind Retarded I Got One With Seth On,Hate Speech
Go On Finish Your Sentence Mongol,Hate Speech
Ching Chong,Hate Speech
I Am Gay Gay Not S Gay I Hate Filthy Faggot Love Joost Jews Of The Maccabees Era Hate,Hate Speech
Anonymous Is A Faggot,Hate Speech
Nigger,Hate Speech
Man This Just Got Me Again The Louisville Nigger Museum That Is So Fucking Funny God Damn,Hate Speech
Buying The Rag Head Votes I See,Hate Speech
A Mother First Then A Crazy Retarded Ass Bitch Right After That,Hate Speech
Feminazi Sorry I Know Not All Feminists Are Crazy,Hate Speech
Damn I Got Called A Nigger Today,Hate Speech
I Get You There To Mate They Are All Sickening And Some Especially These Ching Chong Bastards Are Just,Hate Speech
Shaking My Head Women Really Are Retarded,Hate Speech
Ok Laughing My Ass Off Twitch Abandoned You Faggot,Hate Speech
Herman Certified Himself As S Faggot For Life Tonight After Grundy Showed Him Up And The Fact Grundy What A Slut Pissed At,Hate Speech
How To Get Eg To Away From Keyboard On Your Team Be Tax Like A Mongol Tax,Hate Speech
Glad I Talked Out Myself Out Of Acting Retarded,Hate Speech
Uhhh No You Stupid Faggot Goblin Slayer Actually Makes Sense,Hate Speech
White Girl On My Busits Okay Didnt Say Nigger Its Not Often,Hate Speech
This Faggot Bus Driver Is Driving Like What The Fuck,Hate Speech
This Dude Wayne Said Keep In Mind Im A Afro American So My Open Mind Got A Screen Door,Hate Speech
This Retard Should Be Fighting In Court For This Pic,Hate Speech
Yet This Administration Wants To Curb Legal Immigration Too Not Wanting Immigrants From,Hate Speech
He Is A Booster You Moron Like Are You Literally Retarded Your Another Toxic Young Kid Go Vibe To Little,Hate Speech
Slimy Maybe But Just Because A Spic But Boring I Could Never Boring Sucks,Hate Speech
Biggest Talking About Is Hayley Mcqueen Is An Awful Presenter Kris Commons Is A Soup,Hate Speech
Remove The Emoji Faggot,Hate Speech
Nobody Asked You Faggot,Hate Speech
Wow Some Headshot Kids Are Really Immature Huh S O To The Kid From Neville Who Told My Brother He What A Slut Because Our Mother Passed Away,Hate Speech
The Only Where Are You That People Can Stop Massacre Shooting In The Future Is Getting Rid Of Trump And His Retard,Hate Speech
Non Main Genre Blague Sur Les Migrants Je L Time The Plus En Plus,Hate Speech
This Guy Wants To Eat Fat Dicks Go Figure Do Not Jump In My Mentions Because Your Faggot Ass Is Butt Hurt Whatever Lost,Hate Speech
Take Your Ucl L And Stop Worrying About Things Hazijafika Ati Ooh Washed Up Veteran Ooh Ching Chong Fucking,Hate Speech
Ask Your Rag Head Buddies Where Does The Body An Autopsy Should Be Performed On Khashoggi Or You,Hate Speech
You Being A Twat Imagine,Hate Speech
Bns Is A Complete Mongoloid When It Comes To Gameplay Design Ideas See Bfv Attrition But His Regular Work Is Good,Hate Speech
Nothing Retarded About It Love Capos I Just Agree With His Opinions On,Hate Speech
Sounds A Faggot To Me,Hate Speech
Do Not Ask Us Ask Your Vagina Mate In The White Hoist,Hate Speech
A Vagina But Probably Right Lfc,Hate Speech
This Afro American Is Crazy How You Know That Many People To Reach Me On Your Behalf Lmao So You Care,Hate Speech
Wayne Said Keep In Mind I Am About To Afro American So My Open Mind Has A Screen Doe,Hate Speech
Some Retard Just Next To Me And Started Playing Eminem S New Album,Hate Speech
You Went Full Retard Never Go,Hate Speech
Be A Faggot Prime,Hate Speech
Wow Face Tonight Looked Like It Got Shit On By A Retarded Hippopotamus Then Got Ran Over By,Hate Speech
Dave Roberts Showing How Good That Ucla Education Is Fucking Retard,Hate Speech
Paying Your Rag Head Ass To Make Idiotic Statements Like This This Is Natural Breastfeeding,Hate Speech
Fuck You Fucking Wetback Spic,Hate Speech
No Fuck Olives Slimy Ass Sweaty Retard Grapes,Hate Speech
Retard On His Highest Of Horses Flinging Insults Like A Chimpanzee Flinging His Shit,Hate Speech
Learn To Spell Money,Hate Speech
Since Obama Took Office Only Illegal Aliens Are Innocent Until Proven Guilty Then The Are Let Go With Welfare Benefits,Hate Speech
My Sleeping Schedule Is Retarded,Hate Speech
Shut Up Chink Spic Go Suck Your Mom Redneck,Hate Speech
Hey Bud Just Wanted To Kindly Tell You That A Complete Fucking Retard,Hate Speech
Your Fucking Retard Right You Run,Hate Speech
He Is Not A Refugee From The Middle A Did Not Cross The Us Border In,Hate Speech
At This Point I Tell If Fucking Brilliant Retarded Or Completely Average I Guess Time Will,Hate Speech
Also Cho And Chang Are Both Last Names Thanks For Picking A Slight Variation On Ching Chong For One Of Your Only As,Hate Speech
Grow Up Retard,Hate Speech
Never Been Proven That It Means Times Hit Women He Had Talent Iggy Zeal Raps Like A Mongoloid,Hate Speech
Alex Jones S Attacks On Sandy Hook Victims For Companies To Say On This Guy S A Huge Vagina Who Spreads,Hate Speech
That Nigger Chip Kelly Ruined Everything,Hate Speech
Over Twitter Rat Tweet Twat Tripe Gob Muck So Runs The First Stanza Of By Carol,Hate Speech
No One Has The Right To Come Here Because Their Country Is A Shithole And They Will Not Stand Up Against Their,Hate Speech
So A Retard,Hate Speech
You Are Next Willie You Redheaded Stupid Scottish Cunt,Hate Speech
Elephants Eat Of Pounds A Day Retard Hhh Okay,Hate Speech
People Will Soon To Learn Really Retarded And Play So Deal With It,Hate Speech
So Q Gave Us Reddit Refugees An Invitation To A New Home He Helped S,Hate Speech
Happy Birthday Talented Mongol Wish You All The Best Miss You Die Take Care And Gba,Hate Speech
I End Work Till Over Here Hosting Laughing At My Phone I Look Like A Retard If You Know Me My Laugh Cute Or Quite,Hate Speech
Fuck Off Joe That S A Retarded Notion,Hate Speech
When I What A Slut A Ra Someone Posted Its Okay To Be White Posters Everywhere And I Ripped That Shit Down Laughing Out Loud,Hate Speech
Why Oh Why Am I Such A Fucking Twat,Hate Speech
Good Thing Donald Trump Never Vilifies Democrats As A Group Or Muslims Or Mexicans Or Residents Of Countries,Hate Speech
This Vagina Better Not Change Her Mind And Stay The Fuck Away,Hate Speech
This Is The Game Boy Advanced Opening Screen You Mongoloid,Hate Speech
You Walk Around Attacking People For Being And Then Call Someone A Mongoloid Of Course Choose A Means Cool A K A That,Hate Speech
So This Is What You Want To Talk About When Immigrants Children Are Missing And K,Hate Speech
Not Even My Name On Twitch You Are So Fucking Retarded I Even Comprehend How Stupid,Hate Speech
Why Would It Be An Automatic Car In You Total Fucking Mongoloid The Chase,Hate Speech
Baby Faggot Stop Getting Me Black Balled,Hate Speech
France Germany Britain And Sweden Are Nos Shithole Countries,Hate Speech
I Added A Video To A Playlist Golden Visas How Some Wealthy Immigrants Abuse Quebec S Immigration,Hate Speech
Oh I Am Suitor Impressed Chimp Is Broad Speak For Uneducated Low Info,Hate Speech
I Am From Savannah Go Ahead Been Catching Charges Since Afro American,Hate Speech
No I Legitimate Might Be Retarded,Hate Speech
Yes I Demonstrates Your Point By Mentioning How Turkey Sandwiches Have Made You A Retard,Hate Speech
Thought This Would Be Interesting But Then Remembered Jensen Bigger Is A Literal Retard Cooooooourse,Hate Speech
He What A Slut Not A Read His Social Media Posts Here He Hated Refugees And,Hate Speech
Laughing Out Loud Anxiety Attacks In A Day Haha What A Faggot,Hate Speech
You Called Me A Brain Dead Retard Because I Did A Card With Guardians So I Thought You Were A,Hate Speech
And Are Side Of Duh A Politically Retarded Ng That Knows Nothing About,Hate Speech
I Know She Didnt Just Say What Kind Of Curls Boy She Doesnt Know About Afro American Hair,Hate Speech
The Best Part What A Slut When Someone Called Him A Mongoloid,Hate Speech
Fucking Retarded,Hate Speech
All You Got Did My Mom Buy My Headphones Really Did You Fuck That Animal In The Ass After You Killed It You Faggot,Hate Speech
Stop Your Lying Leftist Micah Xavier Johnson Fired On A Group Of Police Officers,Hate Speech
There Is A Difference Between Nigger And Nigga The Former Is Fascist The Latter Is A Shout Out To The Home Bohr,Hate Speech
Give Refugees Give Them A Better Life,Hate Speech
Typical Nigger,Hate Speech
No Because You Know How To Spell Retard Its Wear,Hate Speech
Stop Watching Sports Then Faggot,Hate Speech
Wrong With You You Fucking Retard,Hate Speech
Started Drinking Yet Or Being Faggot Ass Unicorn,Hate Speech
Truly A Shithole Country,Hate Speech
Share The Wealth As Through History The Wealthy Are Pissing In The Well And Will Bring Disease And Destruction,Hate Speech
Bejarano Is Such A Faggot,Hate Speech
He Is Right Retard,Hate Speech
I Would Say This Is Fucking Retarded But I Do Not Think That The Retard That Came Up With This Should Be Told,Hate Speech
Hate When I Walk Past A Fellow Nigger And He Does Not Say What Does Up Or Do The Head Nod Where Does The Unity Bruh,Hate Speech
Fucking Retard,Hate Speech
What A Slut Retard Asylum Day Gods Jet Day It Is A Mix Of Hopefuls Since Long Crossed The Finish Line Their,Hate Speech
Kanye Dude What The Fuck Is This Ching Chong Shit,Hate Speech
When The Usa Becomes A Shithole Country Because Of Illegal Uncontrolled Immigration In The Not So Distant,Hate Speech
White Trash Spice,Hate Speech
Bet The Vagina What A Slut Up All Night Banging Away On His Flute,Hate Speech
Come At Me Bic Ching Chong,Hate Speech
I Am Liking Ireland If The Uk Insists On Continuing To Make Itself A Shithole It Will At Least Serve As,Hate Speech
So Many Abu Dhabi And Ching Chong Followers,Hate Speech
So They Are Only Really Bypassing One Country Then Indonesia Which Is A,Hate Speech
Hope This Vagina Hard Kondabolu Never Works Again And He Calls Himself A Comedian Laughing Out Loud But Is Offended By As Per Usual Rip Apu Boycott This Cunt,Hate Speech
Lmfaoooooooooooooooooo You Link Then I Will Send You Retard It Will Be My Same Partner Retard,Hate Speech
Then Dumb Nigger Genes For You They Will Join The Party Actively Trying To Exterminate Them,Hate Speech
Dez Go Be A Nigger Somewhere Else,Hate Speech
Learn To Use A Comma Twat,Hate Speech
Votary Or Stfu And Enjoy Our Shithole Full If People From Other Shithole Countries,Hate Speech
Here Goes This Dumb Ass Afro American,Hate Speech
Some Guy Called Me A Spic At Work I Hope His Jaws Heals Up Tomorrow So He Can Try Me Again,Hate Speech
Backpacking And Travel Guide To Burkina Faso Africa Trot,Hate Speech
When Black People Become Conservative That Does Not Mean Go Full Retard That Means Your Politics Have Changed,Hate Speech
This Afro American Been At The Bar For Two Hours And Done Called Ft Me Times Because He Peoples Watching Or He Remembered Some,Hate Speech
Months And The Dla Have Finally Reissued My License After That Atos Vagina Reported Me,Hate Speech
Right But Nintendo Is A Japanese Brand And Not Going Full Retard,Hate Speech
That Even Funny Retard,Hate Speech
Steve Guy Is A Fucking Retard,Hate Speech
The Pace In This Game Is First Name Retarded,Hate Speech
Absolute Mongoloid Set Of Hands,Hate Speech
This Young One Is A Freaking,Hate Speech
If I Can I Definitely Will This Country Is A Shithole,Hate Speech
Whatever Coming With The Clip Fully Loaded What The Fuck Is Up Faggot,Hate Speech
Finally People Are Waking Up Undocumented Migrants Be The New Voting Bl,Hate Speech
Sinead Has Eight Good Reasons To Be A Aussie Rag Head And I Mean That In Best Most,Hate Speech
Holy Shit I Am In Lake Charles La And I Just Had An Attractive Woman Call Me A Because I What A Slut Texting A,Hate Speech
Hitter Andslobertstakes Him Out Fuck You Over Managing Mongoloid Idiot From Hell,Hate Speech
Ramachandra Fun And Reindeer Are Against Hindus In The Name Of Secularism And Leftist Media Propaganda,Hate Speech
Wonder How Long Till More Retarded Chinese Starts Flocking In This Tweet And Start,Hate Speech
Stupid Speech Retard Is A Free Dub,Hate Speech
A Feminazi With A Hillary Locket,Hate Speech
Did You Get A Nuke Though Retard,Hate Speech
If Harder Wasnt A Nigger Hating Vagina Whatever Would Blow Right By Them This Game,Hate Speech
I Dont Know Ching Chong So Much Thou,Hate Speech
A Whole New Low Calling A Victim Or Sexual Assault A Feminazi You Are Not Even Hu,Hate Speech
Ugly Please Kill Yourself Faggot,Hate Speech
I Need Answers Because She Makes A Fine Ass Dyke,Hate Speech
Just Say Nigger I Give You The Pass,Hate Speech
Lmfao Somebody Get This Afro American A Seat,Hate Speech
If Your Dreams Is To Find Comfort In Christianity Go Back To Where You Come From If Your Dream Is To Stay In Touch,Hate Speech
The Use Of It Means Cool A K A Nigger,Hate Speech
Idiots Do Not Realize That Mass Migrations Can Bring Disease,Hate Speech
Why Do You Care More About Undocumented Migrants Than Americans,Hate Speech
She Went Full,Hate Speech
Rondo Is A Retard Laughing My Ass Off I Will Kill Myself,Hate Speech
You Fucking Vagina,Hate Speech
Une Association Quit Vain En Aide Aux Migrants,Hate Speech
The Fuck You Want You Literal Retard,Hate Speech
No Thank Svenskeren He Retarded His Own Progression By Wasting The Early Invade On Broad And Then,Hate Speech
To A Lot Of Ya I Sound Dumb Retarded Or Whatever Personally None Of Ya Opinions Have Ever Mattered I Just,Hate Speech
Being Sleep Deprived Or Hungry Is Not A Free Pass To Be A Cunt,Hate Speech
Bbc News Nauru Refugees The Island Where,Hate Speech
That Is Retarded,Hate Speech
Poor Sweden Turning Into Shithole Country But Those Euro Fruits Want To Help Themselves So,Hate Speech
His Daughter Is A Jew You Simplistic Retard,Hate Speech
Is Hoes Dumb Stupid Or Retarded I Just Want To Know,Hate Speech
As Many Boards As A Bored Mongol Could Hoard What A Slut That Rhetorical,Hate Speech
I Am A Mongol At Heart,Hate Speech
Perhaps Regardless It S An Attack On The Global South S Refugees And I Do Not Want Any Non Violent Felons D,Hate Speech
Breaking Authorities Have Arrested Man Connected To Suspicious Packages,Hate Speech
Come Back When You Wear Shirts That Look Like Me Nanak Carpet You Money Vagina,Hate Speech
Just Kidding Rowling Is Tory Vagina I Am Going To,Hate Speech
You Would Have To Be Low Iq To Believe Everything The Government Says But Plain Retarded To Believe The Enemy,Hate Speech
Not Being A Feminazi Here If There Were A Female Counterpart To This Whatever Surely Would Not Condone It But That Is Bes,Hate Speech
Especially Feeling Sabot This Evening Baby Faggot Skeptical Annoyed Undecided Uneasy Or Hesitant,Hate Speech
Suspicion Upstairs Old Chinaman Neighbor Feigning Mental Illness Since Years Ago Slamming His,Hate Speech
What A Twat,Hate Speech
Games Not Over Till Over You Faggot,Hate Speech
Oh Fuck Off You Vagina Come Back After A Nasty Injury And Scored Twice Leave The Lad Alone You Mary Little,Hate Speech
Noncing Over Jake Are You Vagina,Hate Speech
They Literally Called Me A Nigger As I Type This,Hate Speech
There Is Always A Handful Of Vagina Waffles,Hate Speech
Shut Up Retard,Hate Speech
He Looks Like A Faggot,Hate Speech
Yeah She Is A Cunt Did She Draw This,Hate Speech
Is Not As Our Idiot Administration Might Want You To Believe The Mongol Horde,Hate Speech
I Am A Fucking Retard Apparently,Hate Speech
Now More Than Ever Zoe Leonard Want A Dyke For,Hate Speech
Clearly A Drunk Twat But Hearing One Of The Kids Distraught Saying No As Their Dad Punches,Hate Speech
Go Do Some Work Afro American,Hate Speech
Crap So Tired Just Realized By The Responses I Got I Had Posted On Wrong Profile Twat Haha,Hate Speech
If You Dropping Shit In A Girl Drink You An Ugly Ass Faggot That Wants Hands,Hate Speech
Political Correctness Is Turning Our Country Into A Shithole It Is A Tool Of Far Left Extremists To Divide And,Hate Speech
Got Your Number What A Sad Vagina You Are,Hate Speech
You Said Vagina,Hate Speech
So What Does It Matter About The Rag Head Killed By Other Rag Heads,Hate Speech
Did I Get Unit Last Night Correct I Make A Vagina Of Myself A Care Do A Fuck Aberdeen,Hate Speech
Trump Wants You Immigrants Of Demo,Hate Speech
Reply Nigger,Hate Speech
To Mongol,Hate Speech
Glenn Huddle Rushed To Hospital After Collapsing S Your God Now Eh Glenn You Have Been A Vagina In A Past,Hate Speech
She Is So Retarded,Hate Speech
How Many Cunts Would A Cult Cunt Cult If A Cult Cunt Could Vagina Cults,Hate Speech
Get A Life You Retard,Hate Speech
Despicable Zionazi Bastards Bds Freepalestine Freeway Cowards Netanyahu Zionists Israel,Hate Speech
A Game Retard,Hate Speech
A Shithole Country,Hate Speech
Why Does No One Say Spic I Am Sick Of It,Hate Speech
