Text,Label,Category
Neil Lennon A Soup Taker Haha Kin Hell,Hate Speech,Other
In The Mongol Dreams,Hate Speech,Racism
Laughing Out Loud Just Let You Know A Fact That Ching Chong Hurt At All,Hate Speech,Other
Shut Year Old Lame Ass Up Dyke,Hate Speech,Other
Your State Is A Backwards Shithole Last In Education In Every Category Stop Pretending,Hate Speech,Other
Cheating Vagina Just Admitted He Handled The Ball To Score Typical Leeds Cunts Nfc Lfc,Hate Speech,Other
Sweden Reacts To Being Outnumbered By Immigrants,Hate Speech,Other
Doreen With A Few Snacks Returns To The Room To Find Everything Spic And Span Including Her Clothes,Hate Speech,Other
Negra Novena Cavalcade Oh Afro American Pseudo,Hate Speech,Racism
You Are Actually Retarded,Hate Speech,Harassment
Which Begs The Question What Did Obama Do For Years To Help Those,Hate Speech,Other
Guess What Happens When You Allow People From To Invade Our Country We Become A,Hate Speech,Other
That Starving Faggot And His Starving Faggot Dad Thought Me Myself And I And My Family Where Playing A Game His,Hate Speech,Other
Lots Of Smaller Payments This Time Most Of The Faggot S Credit Cards Could Not Handle A Hit But Still More,Hate Speech,Other
Good Morning Ching Chong,Hate Speech,Other
Wapking Big Sexy Photos Dylan Ryder And Afro American,Hate Speech,Racism
I Told You He What A Slut Retarded,Hate Speech,Harassment
Never Forget Niggaz Is Retarded,Hate Speech,Harassment
I Like Mongoloid Better Anyway,Hate Speech,Racism
Oh Poor Deluded One No Matter How Much You Drink The Cool Aid To Always Be A Spic,Hate Speech,Other
Please Stop Putting Your Cancer On Twitter You Retard,Hate Speech,Harassment
Bandri Go Back To Your Country Pakistan Not Is Your Country Is Afghanistan,Hate Speech,Other
Using Bombs To Intimidate Voters Is Only Common In Shithole Countries What A Sad Day Mailbombed,Hate Speech,Terrorism
Are You There Men Created The Out Of Africa Theory Marcus Garvey What A Slut An Agent Funded And Schooled By You There So Called Jews,Hate Speech,Sexist
He Did A Good Job On Your Bantu Ass Bet You To To Even Know That,Hate Speech,Other
Governor Brown Vetoed Senator Ricardo Lara S Bill Sb That Would Have Allowed Illegal Aliens To Serve On B,Hate Speech,Other
If You Get Preterit I Am Going To Punch Your Stomach Until Its Retarded,Hate Speech,Harassment
It Really Is Pauline Hanson And Her It Is Okay To Be White Thing Are Like The Tip Of The Garbage Genocide Iceberg,Hate Speech,Racism
So My New Neighbor Is A Dyke I Just Realized She Peeks Out When My House Door Opens But Only Comes Out When I,Hate Speech,Other
What The Fuck You Talking About You Fat Four Eyed Fucking Retard,Hate Speech,Harassment
The Population Of Undocumented Immigrants Is Widely Thought To Be Around Million But The Study Which What A Slut Con,Hate Speech,Sexist
Listening To Afro American Swan,Hate Speech,Racism
London Fans Hate You Too You Fat Vagina It Means Times Out Of The Office Guns N Roses,Hate Speech,Other
You Call That Singing The Vagina Would Get Four For That Performance She Got Any Likability,Hate Speech,Other
Do You Need A Cool Cowhide Coat For An Extraordinary Event Dwayne Johnson Baywatch Lifeguard Jacket This Spic And,Hate Speech,Other
Ching Chong Bing Bong Eat Dog,Hate Speech,Other
Well China Does Get Itself Wrecked By Mongols While Japan Repel The Mongol Assault Twice So,Hate Speech,Racism
What Are You Retarded Your Going To Get The Cheese Touch,Hate Speech,Harassment
Please Charlene You Are Most Welcome Here In The Shithole You Helped Created By Supporting,Hate Speech,Other
I Hate When Niggas Really Think About To Entertain A Conversation About How My Dyke Fucks Me Move Year Old Goofy Ass Around Nigga,Hate Speech,Other
Breed,Hate Speech,Other
If You Think This Is Sport Entertainment Or Culture You Are A Stupid Cunt,Hate Speech,Harassment
Out This Daft,Hate Speech,Other
Love The Term Feminazis Mind If I Use It Funny How They Are Always Crying About,Hate Speech,Other
You Called My Son Retarded Do Not Call My Son That,Hate Speech,Harassment
I Thank God America Is Not Like The Free Speech Free Shithole Countries Of Europe To Keep America Different Is,Hate Speech,Other
Who Is This Faggot,Hate Speech,Other
Only Leicester I Like Is The Cheese Fucking Yobbo Cunts,Hate Speech,Other
Once You Go Hardy You Go Retarded,Hate Speech,Harassment
Is A Rag Head The Same As A Camel Swagger,Hate Speech,Other
On Pm Iranian Expressed His Desire To Give Pakistani Nationality To Afghan And Bengali Refugees On,Hate Speech,Other
Who Ever Is Making The Calls For The Is Pretty Retarded And Does Not Learn From Mistakes,Hate Speech,Harassment
Never Hit A Woman But Load Me Up On Stella Artist Iron My Vest Because For This Vagina Make The Exception,Hate Speech,Other
Laughing Out Loud Hey Man You Started Writing In Ching Chong First Okay Www Also Now That I Know That You Are A,Hate Speech,Other
Governments Own The Water In Those World Shithole Countries That Is A Regulation Based Solution,Hate Speech,Other
Thanks To The Historic Taco Bowls That I Signed Into Law Your Crooked Hillary Are Going Up Your Shithole,Hate Speech,Other
Best Television Do Not Watch A Lot Of Tv Probably Malamute Do Not Care If I Am A Faggot That Shit What A Slut Good,Hate Speech,Sexist
Sgt With Crazy Retarded Impossible Time Hack After Pt Into Cops Be Back At B Co In Minutes Fall,Hate Speech,Harassment
Straight Girls Go To Hamburger Mary Once And Start Thinking They Can Say Faggot,Hate Speech,Other
Me Is A Faggot Else Get Out Of My Face,Hate Speech,Other
The Fucking Retard Just Gave Them The Best Ammunition Possible,Hate Speech,Harassment
Hey You Know If You Say Retard So Many Times A Short Amount Of Words It Makes You Look Retarded,Hate Speech,Harassment
Being On Adderall What A Slut Cool Because I Could Be Retarded More Efficiently,Hate Speech,Harassment
Shutup Nigger,Hate Speech,Other
So You Mean To Tell Me Being Called A Cracker Carries The Same Weight As Being Called A Nigger Spick Wetback,Hate Speech,Other
King Please Forgive Me I Mean To Laugh With This Mongoloid,Hate Speech,Racism
Can I Go One Day Without Seeing That Faggot On My Phone,Hate Speech,Other
They Are All Right To Be Fair But They Do Seem To Attract A Money Element At Their Gigs,Hate Speech,Other
Fuck You Faggot,Hate Speech,Other
Funny They Do Not Use It Means Cool A K A By The Where Are You What What A Slut Responsible For Murders,Hate Speech,Threat
Blown Holding Calls And He What A Slut Short God These Refs Are Retarded,Hate Speech,Harassment
Still No Master Of Ceremonies Rag Head,Hate Speech,Other
Supra Is A Fucking Faggot,Hate Speech,Other
She Is Just Another Silly Cunt Twitter Is Full Of Them,Hate Speech,Other
I Do Not Think I Have Retarded Mutual So Possibly Never,Hate Speech,Harassment
Found Envelopes And They Say Ching Chong,Hate Speech,Other
I Cannot Believe Ching Chong Is Down By Points,Hate Speech,Other
Her Name Is Ching Chong Did You Just Assume Her Name,Hate Speech,Other
It Is Okay To Be White,Hate Speech,Racism
I Remember Going Every Dinner When I What A Slut A Wee Yobbo At David Lister Frown Sad Andy Or Pouting Them Man With His Spicy Salt And That,Hate Speech,Sexist
It Said Words You Fucking Mongoloid,Hate Speech,Racism
Yuki I Will Kick You In The Vagina Stop Talking About My Two Me,Hate Speech,Other
Hey My Stinky Dyke Tslint To,Hate Speech,Other
Fuck Rich Hill Faggot,Hate Speech,Other
I Call Him A Faggot I Very Agree On That But I Somewhat Agree And Disagree,Hate Speech,Other
Congratulations You Dumb Vagina,Hate Speech,Other
I Really Am Thinking Like Do Niggas Think I Am Dumb They Must Think I Am Retarded,Hate Speech,Harassment
Afrikaans Dumb Vagina Do You Speak It,Hate Speech,Other
If You Post A Video Of You Sweating In A Pub And Killing Someone Trying To Play Casual You A Faggot Sorry Not Sorry,Hate Speech,Threat
Whenever You Say Isn T It Is Gives Me Aids Because Of How Much Of A Posh Vagina You Are,Hate Speech,Other
Left Goes Nuts After Calls Countries Insisting No Country Is A Shithole Now It Is,Hate Speech,Other
I Think I Am Finally Over You After Years You Fucking Cunt,Hate Speech,Other
A Fucking Vagina,Hate Speech,Other
Call On The Australian Government To Expand And Improve Community Sponsorship For Refugees So That More Families,Hate Speech,Other
How About You Get Your Head Fixed First,Hate Speech,Other
Me When I Walk Through The Gate And The Faggot Detector Goes Off,Hate Speech,Other
Does United States Of America Morph Into A Heartless Shithole Country Under The Trump Administration Vote Democrat Voted,Hate Speech,Other
What The Fuck Does Spic Mean And How Is It Offensive,Hate Speech,Other
Says The Retard With A Beehive The Size Of An Apartment,Hate Speech,Harassment
I Have Never Agreed With Anything More Than When Donald Trump Called African Countries Shithole,Hate Speech,Other
You Could Just Point Out That They All Come From Shithole Countries But Whatever Know How You Feel About That Phrase Too,Hate Speech,Other
Not The Leader Of The Free World Anymore What A Twat Expletives Suppressed,Hate Speech,Other
Leaving Their Shithole Countries To Turn Europe Into A Continent Full Of Shithole Countries Home,Hate Speech,Other
Do Me And America A Favor And Stop Giving These Hateful Leftist Reporters The Privilege Of,Hate Speech,Other
One Of My Girls Is Chinese And Whenever She Educates This Girl To Not Say Ching Chong And Shit The Girl Goes It,Hate Speech,Other
My Fucking Vagina Is A Joke,Hate Speech,Other
Disgusting Tweet You Vile Cunt,Hate Speech,Other
Hyaaaa Trembles In Ching Chong,Hate Speech,Other
Hol Up It Means Times Is More Famous Than Those Weird K Pop Ching Chong Nights So Like You Cannot Even Argue Bro Even If He Is De,Hate Speech,Other
A Hole Sir A Faggot Sir Just A Clit Sir A Hole Sir A Faggot Sir Just A Clit Sir A,Hate Speech,Other
You And Tyrone Are Retarded,Hate Speech,Harassment
Fucking,Hate Speech,Other
Here Is A Good Old Spicy Meme I Made Because I Decided To Be A Little Vagina Very Very Happy Face Or Smiley,Hate Speech,Other
Calling Him Her A Vagina Probably,Hate Speech,Other
Nigera Fucker A Nigger Proper,Hate Speech,Other
Shut The Fuck Up And Come Party Retard,Hate Speech,Harassment
Ching Chong Ching Chang,Hate Speech,Other
Kelly Rowland Really Called Freddie Kruger A Faggot Lmaoooooooooooo,Hate Speech,Other
Is It Me Or Do People Go Instant Retard When Told Firmly To Leave,Hate Speech,Harassment
Asian Group Ching Chong Dog Eaters Those Chinese Dudes,Hate Speech,Other
Luke Is Retarded He Needs To Do A Better Job With These Rotations And Stop Calling Dumb Timeouts,Hate Speech,Harassment
Which Faggot Is Paying For New Underwear Message Me,Hate Speech,Other
Wait Never Mind Retarded I Got One With Seth On,Hate Speech,Harassment
Go On Finish Your Sentence Mongol,Hate Speech,Racism
Ching Chong,Hate Speech,Other
I Am Gay Gay Not S Gay I Hate Filthy Faggot Love Joost Jews Of The Maccabees Era Hate,Hate Speech,Other
Anonymous Is A Faggot,Hate Speech,Other
Nigger,Hate Speech,Other
Man This Just Got Me Again The Louisville Nigger Museum That Is So Fucking Funny God Damn,Hate Speech,Other
Buying The Rag Head Votes I See,Hate Speech,Other
A Mother First Then A Crazy Retarded Ass Bitch Right After That,Hate Speech,Harassment
Feminazi Sorry I Know Not All Feminists Are Crazy,Hate Speech,Other
Damn I Got Called A Nigger Today,Hate Speech,Other
I Get You There To Mate They Are All Sickening And Some Especially These Ching Chong Bastards Are Just,Hate Speech,Other
Shaking My Head Women Really Are Retarded,Hate Speech,Harassment
Ok Laughing My Ass Off Twitch Abandoned You Faggot,Hate Speech,Other
Herman Certified Himself As S Faggot For Life Tonight After Grundy Showed Him Up And The Fact Grundy What A Slut Pissed At,Hate Speech,Sexist
How To Get Eg To Away From Keyboard On Your Team Be Tax Like A Mongol Tax,Hate Speech,Racism
Glad I Talked Out Myself Out Of Acting Retarded,Hate Speech,Harassment
Uhhh No You Stupid Faggot Goblin Slayer Actually Makes Sense,Hate Speech,Harassment
White Girl On My Busits Okay Didnt Say Nigger Its Not Often,Hate Speech,Racism
This Faggot Bus Driver Is Driving Like What The Fuck,Hate Speech,Other
This Dude Wayne Said Keep In Mind Im A Afro American So My Open Mind Got A Screen Door,Hate Speech,Racism
This Retard Should Be Fighting In Court For This Pic,Hate Speech,Harassment
Yet This Administration Wants To Curb Legal Immigration Too Not Wanting Immigrants From,Hate Speech,Other
He Is A Booster You Moron Like Are You Literally Retarded Your Another Toxic Young Kid Go Vibe To Little,Hate Speech,Harassment
Slimy Maybe But Just Because A Spic But Boring I Could Never Boring Sucks,Hate Speech,Other
Biggest Talking About Is Hayley Mcqueen Is An Awful Presenter Kris Commons Is A Soup,Hate Speech,Other
Remove The Emoji Faggot,Hate Speech,Other
Nobody Asked You Faggot,Hate Speech,Other
Wow Some Headshot Kids Are Really Immature Huh S O To The Kid From Neville Who Told My Brother He What A Slut Because Our Mother Passed Away,Hate Speech,Sexist
The Only Where Are You That People Can Stop Massacre Shooting In The Future Is Getting Rid Of Trump And His Retard,Hate Speech,Harassment
Non Main Genre Blague Sur Les Migrants Je L Time The Plus En Plus,Hate Speech,Other
This Guy Wants To Eat Fat Dicks Go Figure Do Not Jump In My Mentions Because Your Faggot Ass Is Butt Hurt Whatever Lost,Hate Speech,Other
Take Your Ucl L And Stop Worrying About Things Hazijafika Ati Ooh Washed Up Veteran Ooh Ching Chong Fucking,Hate Speech,Other
Ask Your Rag Head Buddies Where Does The Body An Autopsy Should Be Performed On Khashoggi Or You,Hate Speech,Other
You Being A Twat Imagine,Hate Speech,Other
Bns Is A Complete Mongoloid When It Comes To Gameplay Design Ideas See Bfv Attrition But His Regular Work Is Good,Hate Speech,Racism
Nothing Retarded About It Love Capos I Just Agree With His Opinions On,Hate Speech,Harassment
Sounds A Faggot To Me,Hate Speech,Other
Do Not Ask Us Ask Your Vagina Mate In The White Hoist,Hate Speech,Racism
A Vagina But Probably Right Lfc,Hate Speech,Other
This Afro American Is Crazy How You Know That Many People To Reach Me On Your Behalf Lmao So You Care,Hate Speech,Racism
Wayne Said Keep In Mind I Am About To Afro American So My Open Mind Has A Screen Doe,Hate Speech,Racism
Some Retard Just Next To Me And Started Playing Eminem S New Album,Hate Speech,Harassment
You Went Full Retard Never Go,Hate Speech,Harassment
Be A Faggot Prime,Hate Speech,Other
Wow Face Tonight Looked Like It Got Shit On By A Retarded Hippopotamus Then Got Ran Over By,Hate Speech,Harassment
Dave Roberts Showing How Good That Ucla Education Is Fucking Retard,Hate Speech,Harassment
Paying Your Rag Head Ass To Make Idiotic Statements Like This This Is Natural Breastfeeding,Hate Speech,Harassment
Fuck You Fucking Wetback Spic,Hate Speech,Other
No Fuck Olives Slimy Ass Sweaty Retard Grapes,Hate Speech,Harassment
Retard On His Highest Of Horses Flinging Insults Like A Chimpanzee Flinging His Shit,Hate Speech,Harassment
Learn To Spell Money,Hate Speech,Other
Since Obama Took Office Only Illegal Aliens Are Innocent Until Proven Guilty Then The Are Let Go With Welfare Benefits,Hate Speech,Other
My Sleeping Schedule Is Retarded,Hate Speech,Harassment
Shut Up Chink Spic Go Suck Your Mom Redneck,Hate Speech,Other
Hey Bud Just Wanted To Kindly Tell You That A Complete Fucking Retard,Hate Speech,Harassment
Your Fucking Retard Right You Run,Hate Speech,Harassment
He Is Not A Refugee From The Middle A Did Not Cross The Us Border In,Hate Speech,Other
At This Point I Tell If Fucking Brilliant Retarded Or Completely Average I Guess Time Will,Hate Speech,Harassment
Also Cho And Chang Are Both Last Names Thanks For Picking A Slight Variation On Ching Chong For One Of Your Only As,Hate Speech,Other
Grow Up Retard,Hate Speech,Harassment
Never Been Proven That It Means Times Hit Women He Had Talent Iggy Zeal Raps Like A Mongoloid,Hate Speech,Racism
Alex Jones S Attacks On Sandy Hook Victims For Companies To Say On This Guy S A Huge Vagina Who Spreads,Hate Speech,Terrorism
That Nigger Chip Kelly Ruined Everything,Hate Speech,Other
Over Twitter Rat Tweet Twat Tripe Gob Muck So Runs The First Stanza Of By Carol,Hate Speech,Other
No One Has The Right To Come Here Because Their Country Is A Shithole And They Will Not Stand Up Against Their,Hate Speech,Other
So A Retard,Hate Speech,Harassment
You Are Next Willie You Redheaded Stupid Scottish Cunt,Hate Speech,Harassment
Elephants Eat Of Pounds A Day Retard Hhh Okay,Hate Speech,Harassment
People Will Soon To Learn Really Retarded And Play So Deal With It,Hate Speech,Harassment
So Q Gave Us Reddit Refugees An Invitation To A New Home He Helped S,Hate Speech,Other
Happy Birthday Talented Mongol Wish You All The Best Miss You Die Take Care And Gba,Hate Speech,Racism
I End Work Till Over Here Hosting Laughing At My Phone I Look Like A Retard If You Know Me My Laugh Cute Or Quite,Hate Speech,Harassment
Fuck Off Joe That S A Retarded Notion,Hate Speech,Harassment
When I What A Slut A Ra Someone Posted Its Okay To Be White Posters Everywhere And I Ripped That Shit Down Laughing Out Loud,Hate Speech,Racism
Why Oh Why Am I Such A Fucking Twat,Hate Speech,Other
Good Thing Donald Trump Never Vilifies Democrats As A Group Or Muslims Or Mexicans Or Residents Of Countries,Hate Speech,Other
This Vagina Better Not Change Her Mind And Stay The Fuck Away,Hate Speech,Other
This Is The Game Boy Advanced Opening Screen You Mongoloid,Hate Speech,Racism
You Walk Around Attacking People For Being And Then Call Someone A Mongoloid Of Course Choose A Means Cool A K A That,Hate Speech,Racism
So This Is What You Want To Talk About When Immigrants Children Are Missing And K,Hate Speech,Other
Not Even My Name On Twitch You Are So Fucking Retarded I Even Comprehend How Stupid,Hate Speech,Harassment
Why Would It Be An Automatic Car In You Total Fucking Mongoloid The Chase,Hate Speech,Racism
Baby Faggot Stop Getting Me Black Balled,Hate Speech,Racism
France Germany Britain And Sweden Are Nos Shithole Countries,Hate Speech,Other
I Added A Video To A Playlist Golden Visas How Some Wealthy Immigrants Abuse Quebec S Immigration,Hate Speech,Other
Oh I Am Suitor Impressed Chimp Is Broad Speak For Uneducated Low Info,Hate Speech,Other
I Am From Savannah Go Ahead Been Catching Charges Since Afro American,Hate Speech,Racism
No I Legitimate Might Be Retarded,Hate Speech,Harassment
Yes I Demonstrates Your Point By Mentioning How Turkey Sandwiches Have Made You A Retard,Hate Speech,Harassment
Thought This Would Be Interesting But Then Remembered Jensen Bigger Is A Literal Retard Cooooooourse,Hate Speech,Harassment
He What A Slut Not A Read His Social Media Posts Here He Hated Refugees And,Hate Speech,Sexist
Laughing Out Loud Anxiety Attacks In A Day Haha What A Faggot,Hate Speech,Terrorism
You Called Me A Brain Dead Retard Because I Did A Card With Guardians So I Thought You Were A,Hate Speech,Harassment
And Are Side Of Duh A Politically Retarded Ng That Knows Nothing About,Hate Speech,Harassment
I Know She Didnt Just Say What Kind Of Curls Boy She Doesnt Know About Afro American Hair,Hate Speech,Racism
The Best Part What A Slut When Someone Called Him A Mongoloid,Hate Speech,Racism
Fucking Retarded,Hate Speech,Harassment
All You Got Did My Mom Buy My Headphones Really Did You Fuck That Animal In The Ass After You Killed It You Faggot,Hate Speech,Threat
Stop Your Lying Leftist Micah Xavier Johnson Fired On A Group Of Police Officers,Hate Speech,Other
There Is A Difference Between Nigger And Nigga The Former Is Fascist The Latter Is A Shout Out To The Home Bohr,Hate Speech,Other
Give Refugees Give Them A Better Life,Hate Speech,Other
Typical Nigger,Hate Speech,Other
No Because You Know How To Spell Retard Its Wear,Hate Speech,Harassment
Stop Watching Sports Then Faggot,Hate Speech,Other
Wrong With You You Fucking Retard,Hate Speech,Harassment
Started Drinking Yet Or Being Faggot Ass Unicorn,Hate Speech,Other
Truly A Shithole Country,Hate Speech,Other
Share The Wealth As Through History The Wealthy Are Pissing In The Well And Will Bring Disease And Destruction,Hate Speech,Other
Bejarano Is Such A Faggot,Hate Speech,Other
He Is Right Retard,Hate Speech,Harassment
I Would Say This Is Fucking Retarded But I Do Not Think That The Retard That Came Up With This Should Be Told,Hate Speech,Harassment
Hate When I Walk Past A Fellow Nigger And He Does Not Say What Does Up Or Do The Head Nod Where Does The Unity Bruh,Hate Speech,Other
Fucking Retard,Hate Speech,Harassment
What A Slut Retard Asylum Day Gods Jet Day It Is A Mix Of Hopefuls Since Long Crossed The Finish Line Their,Hate Speech,Harassment
Kanye Dude What The Fuck Is This Ching Chong Shit,Hate Speech,Other
When The Usa Becomes A Shithole Country Because Of Illegal Uncontrolled Immigration In The Not So Distant,Hate Speech,Other
White Trash Spice,Hate Speech,Racism
Bet The Vagina What A Slut Up All Night Banging Away On His Flute,Hate Speech,Sexist
Come At Me Bic Ching Chong,Hate Speech,Other
I Am Liking Ireland If The Uk Insists On Continuing To Make Itself A Shithole It Will At Least Serve As,Hate Speech,Other
So Many Abu Dhabi And Ching Chong Followers,Hate Speech,Other
So They Are Only Really Bypassing One Country Then Indonesia Which Is A,Hate Speech,Other
Hope This Vagina Hard Kondabolu Never Works Again And He Calls Himself A Comedian Laughing Out Loud But Is Offended By As Per Usual Rip Apu Boycott This Cunt,Hate Speech,Other
Lmfaoooooooooooooooooo You Link Then I Will Send You Retard It Will Be My Same Partner Retard,Hate Speech,Harassment
Then Dumb Nigger Genes For You They Will Join The Party Actively Trying To Exterminate Them,Hate Speech,Other
Dez Go Be A Nigger Somewhere Else,Hate Speech,Other
Learn To Use A Comma Twat,Hate Speech,Other
Votary Or Stfu And Enjoy Our Shithole Full If People From Other Shithole Countries,Hate Speech,Other
Here Goes This Dumb Ass Afro American,Hate Speech,Racism
Some Guy Called Me A Spic At Work I Hope His Jaws Heals Up Tomorrow So He Can Try Me Again,Hate Speech,Other
Backpacking And Travel Guide To Burkina Faso Africa Trot,Hate Speech,Other
When Black People Become Conservative That Does Not Mean Go Full Retard That Means Your Politics Have Changed,Hate Speech,Racism
This Afro American Been At The Bar For Two Hours And Done Called Ft Me Times Because He Peoples Watching Or He Remembered Some,Hate Speech,Racism
Months And The Dla Have Finally Reissued My License After That Atos Vagina Reported Me,Hate Speech,Other
Right But Nintendo Is A Japanese Brand And Not Going Full Retard,Hate Speech,Harassment
That Even Funny Retard,Hate Speech,Harassment
Steve Guy Is A Fucking Retard,Hate Speech,Harassment
The Pace In This Game Is First Name Retarded,Hate Speech,Harassment
Absolute Mongoloid Set Of Hands,Hate Speech,Racism
This Young One Is A Freaking,Hate Speech,Other
If I Can I Definitely Will This Country Is A Shithole,Hate Speech,Other
Whatever Coming With The Clip Fully Loaded What The Fuck Is Up Faggot,Hate Speech,Other
Finally People Are Waking Up Undocumented Migrants Be The New Voting Bl,Hate Speech,Other
Sinead Has Eight Good Reasons To Be A Aussie Rag Head And I Mean That In Best Most,Hate Speech,Other
Holy Shit I Am In Lake Charles La And I Just Had An Attractive Woman Call Me A Because I What A Slut Texting A,Hate Speech,Sexist
Hitter Andslobertstakes Him Out Fuck You Over Managing Mongoloid Idiot From Hell,Hate Speech,Racism
Ramachandra Fun And Reindeer Are Against Hindus In The Name Of Secularism And Leftist Media Propaganda,Hate Speech,Other
Wonder How Long Till More Retarded Chinese Starts Flocking In This Tweet And Start,Hate Speech,Harassment
Stupid Speech Retard Is A Free Dub,Hate Speech,Harassment
A Feminazi With A Hillary Locket,Hate Speech,Other
Did You Get A Nuke Though Retard,Hate Speech,Harassment
If Harder Wasnt A Nigger Hating Vagina Whatever Would Blow Right By Them This Game,Hate Speech,Other
I Dont Know Ching Chong So Much Thou,Hate Speech,Other
A Whole New Low Calling A Victim Or Sexual Assault A Feminazi You Are Not Even Hu,Hate Speech,Other
Ugly Please Kill Yourself Faggot,Hate Speech,Threat
I Need Answers Because She Makes A Fine Ass Dyke,Hate Speech,Other
Just Say Nigger I Give You The Pass,Hate Speech,Other
Lmfao Somebody Get This Afro American A Seat,Hate Speech,Racism
If Your Dreams Is To Find Comfort In Christianity Go Back To Where You Come From If Your Dream Is To Stay In Touch,Hate Speech,Other
The Use Of It Means Cool A K A Nigger,Hate Speech,Other
Idiots Do Not Realize That Mass Migrations Can Bring Disease,Hate Speech,Harassment
Why Do You Care More About Undocumented Migrants Than Americans,Hate Speech,Other
She Went Full,Hate Speech,Other
Rondo Is A Retard Laughing My Ass Off I Will Kill Myself,Hate Speech,Threat
You Fucking Vagina,Hate Speech,Other
Une Association Quit Vain En Aide Aux Migrants,Hate Speech,Other
The Fuck You Want You Literal Retard,Hate Speech,Harassment
No Thank Svenskeren He Retarded His Own Progression By Wasting The Early Invade On Broad And Then,Hate Speech,Harassment
To A Lot Of Ya I Sound Dumb Retarded Or Whatever Personally None Of Ya Opinions Have Ever Mattered I Just,Hate Speech,Harassment
Being Sleep Deprived Or Hungry Is Not A Free Pass To Be A Cunt,Hate Speech,Other
Bbc News Nauru Refugees The Island Where,Hate Speech,Other
That Is Retarded,Hate Speech,Harassment
Poor Sweden Turning Into Shithole Country But Those Euro Fruits Want To Help Themselves So,Hate Speech,Other
His Daughter Is A Jew You Simplistic Retard,Hate Speech,Harassment
Is Hoes Dumb Stupid Or Retarded I Just Want To Know,Hate Speech,Harassment
As Many Boards As A Bored Mongol Could Hoard What A Slut That Rhetorical,Hate Speech,Racism
I Am A Mongol At Heart,Hate Speech,Racism
Perhaps Regardless It S An Attack On The Global South S Refugees And I Do Not Want Any Non Violent Felons D,Hate Speech,Terrorism
Breaking Authorities Have Arrested Man Connected To Suspicious Packages,Hate Speech,Other
